trial_id,short_name,disease,year_mid,n,n_female,p,p_lo,p_hi,pi,ratio,lor,lor_se,analysis_set
BNT162b2,BNT162b2 (Pfizer-BioNTech),COVID-19,2020,37706,18631,0.49411234286320477,0.4890666943858766,0.4991591909225359,0.5,0.9882246857264095,-0.023551717132303897,0.010300418622582849,primary
mRNA-1273,mRNA-1273 (Moderna COVE),COVID-19,2020,30351,14366,0.4733287206352344,0.4677152384921002,0.47894895362148987,0.5,0.9466574412704688,-0.10678647885919514,0.011496410191243367,primary
AZD1222,ChAdOx1 nCoV-19 (AZD1222),COVID-19,2020,11636,7045,0.6054486077689928,0.5965345552075226,0.6142930560548162,0.7,0.8649265825271326,-0.41907758030364484,0.01896739598760965,primary
Ad26,Ad26.COV2.S (ENSEMBLE),COVID-19,2020,43783,19722,0.45044880433044787,0.4457928798463837,0.45511342347557127,0.5,0.9008976086608957,-0.1988575085324552,0.0096055103482225,primary
NVX,NVX-CoV2373 (UK),COVID-19,2020,14039,6801,0.48443621340551324,0.47617460940712275,0.4927063327520481,0.5,0.9688724268110265,-0.06227526494804895,0.016887774070004073,primary
rVSV,rVSV-ZEBOV (Ebola Ça Suffit!),Ebola,2015,3796,1223,0.32218124341412013,0.3075012483851536,0.3372207842385221,0.43,0.7492587056142329,-0.46191452445358394,0.03473201502729588,primary
PALM,PALM (ZMapp/remdesivir/MAb114/REGN-EB3),Ebola,2019,673,374,0.5557206537890045,0.5179688320836282,0.5928399598109599,0.5,1.111441307578009,0.22381222402384554,0.07757756374619547,primary
HPTN052,HPTN 052,HIV,2011,1763,873,0.4951786727169597,0.4718756748233101,0.5185026363959864,0.5,0.9903573454339194,-0.019285906886583454,0.04763476543342555,primary
PartnersPrEP,Partners PrEP,HIV,2010,4747,1785,0.37602696439856753,0.36235274697359937,0.38990167464298325,0.38,0.989544643154125,-0.016898075295298742,0.029963875129827275,primary
BangkokTDF,Bangkok Tenofovir Study,HIV,2008,2413,487,0.2018234562784915,0.18628865162491656,0.21830617163532515,0.2,1.0091172813924574,0.011357891844409496,0.05072079346711472,primary
VOICE,VOICE (MTN-003),HIV,2011,5029,5029,1.0,0.9992366936404278,1.0,1.0,1.0,0.0,14.101308025988045,secondary_sex_specific
FEMPREP,FEM-PrEP,HIV,2011,2120,2120,1.0,0.9981912022064168,0.9999999999999998,1.0,1.0,0.0,21.718622997155414,secondary_sex_specific
iPrEx,iPrEx,HIV,2009,2499,29,0.011604641856742696,0.008091981998774794,0.016616573268965682,0.0,,9.370831958328225,0.18678227142928955,secondary_sex_specific
